round,time,player,severity,punished,punish_damage_est,p1_health_pre,p1_health_post,p2_health_pre,p2_health_post,p1_health_delta,p2_health_delta,title,opponent_string
1,00:10.3,1,critical,True,193,0.034,0.046,0.0,0.0,-0.013,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:24.3,1,major,True,187,0.042,0.115,0.0,0.0,-0.073,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:10.4,2,major,True,181,0.034,0.046,0.0,0.0,-0.012,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:25.8,1,major,True,173,0.0,0.034,0.0,0.0,-0.034,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:25.6,2,major,True,172,0.0,0.034,0.0,0.0,-0.034,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:17.6,1,major,True,169,0.034,0.04,0.0,0.0,-0.005,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:16.8,1,major,True,165,0.044,0.053,0.0,0.0,-0.01,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:29.8,1,major,True,159,0.373,0.036,0.071,0.0,0.338,0.071,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:29.6,1,major,True,159,0.044,0.036,0.0,0.0,0.008,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:21.5,1,major,True,156,0.037,0.03,0.0,0.0,0.006,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:22.8,2,major,True,154,0.0,0.021,0.0,0.0,-0.021,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:21.3,1,major,True,154,0.043,0.032,0.0,0.0,0.011,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:20.6,2,major,True,152,0.04,0.046,0.0,0.0,-0.006,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:17.6,2,major,True,152,0.034,0.04,0.0,0.0,-0.005,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:27.8,2,major,True,149,0.034,0.373,0.0,0.071,-0.34,-0.071,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:17,2,major,True,149,0.044,0.053,0.0,0.0,-0.01,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:26.1,2,major,True,147,0.0,0.034,0.0,0.0,-0.034,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:14,2,major,True,147,0.0,0.039,0.004,0.0,-0.039,0.004,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:24.6,2,major,True,146,0.019,0.119,0.0,0.0,-0.1,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:22.8,1,major,True,146,0.015,0.0,0.0,0.0,0.015,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:14.5,1,major,True,146,0.02,0.044,0.0,0.0,-0.024,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:13.8,2,major,True,146,0.031,0.039,0.0,0.0,-0.008,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:17.1,1,major,True,145,0.044,0.049,0.0,0.0,-0.005,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:13.6,1,major,True,145,0.031,0.039,0.0,0.0,-0.008,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:25.8,2,major,True,144,0.0,0.034,0.0,0.0,-0.034,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:17.8,1,major,True,144,0.044,0.04,0.0,0.0,0.005,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:10.1,2,major,True,144,0.034,0.045,0.0,0.0,-0.012,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:24.3,2,major,True,143,0.042,0.05,0.0,0.0,-0.008,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:04.5,1,major,True,143,0.04,0.04,0.0,0.0,0.001,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:26,1,major,True,142,0.0,0.034,0.0,0.0,-0.034,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:29.8,2,major,True,141,0.152,0.036,0.005,0.0,0.116,0.005,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:27.6,1,major,True,140,0.034,0.013,0.0,0.0,0.021,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:20.1,2,major,True,140,0.039,0.035,0.0,0.0,0.004,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:24.6,1,major,True,139,0.02,0.057,0.0,0.0,-0.036,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:16.3,2,major,True,139,0.042,0.051,0.0,0.0,-0.009,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:17.5,2,major,True,138,0.034,0.04,0.0,0.0,-0.005,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:14.3,1,major,True,138,0.017,0.042,0.0,0.0,-0.024,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:13.5,1,major,True,138,0.0,0.039,0.0,0.0,-0.039,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:13.5,2,major,True,138,0.022,0.039,0.002,0.0,-0.017,0.002,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:11.1,1,major,True,138,0.051,0.051,0.0,0.0,0.0,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:09.9,2,major,True,137,0.034,0.04,0.0,0.0,-0.006,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:14.6,2,major,True,136,0.021,0.044,0.001,0.0,-0.023,0.001,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:30.5,1,minor,False,0,0.018,0.0,0.0,0.0,0.018,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:30.3,1,minor,False,0,0.034,0.022,0.0,0.001,0.012,-0.001,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:30.3,2,minor,False,0,0.051,0.039,0.0,0.0,0.012,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:29.6,2,minor,False,0,0.013,0.036,0.0,0.0,-0.023,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:28.8,2,minor,False,0,0.013,0.031,0.0,0.0,-0.018,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:27.8,1,minor,False,0,0.034,0.152,0.0,0.005,-0.119,-0.005,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:27.6,2,minor,False,0,0.034,0.044,0.0,0.0,-0.01,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:27.5,1,minor,False,0,0.034,0.044,0.0,0.0,-0.01,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:24.1,1,minor,False,0,0.031,0.033,0.0,0.0,-0.002,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:23.8,2,minor,False,0,0.04,0.0,0.0,0.0,0.04,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:23.3,1,minor,False,0,0.035,0.0,0.0,0.0,0.035,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:23.1,1,minor,False,0,0.033,0.0,0.0,0.0,0.033,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:23.1,2,minor,False,0,0.033,0.0,0.0,0.0,0.033,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:23,2,minor,False,0,0.029,0.0,0.0,0.0,0.029,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:22.3,1,minor,False,0,0.035,0.042,0.0,0.0,-0.007,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:22.1,2,minor,False,0,0.035,0.031,0.0,0.0,0.005,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:21.6,2,minor,False,0,0.016,0.041,0.0,0.0,-0.025,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:21.6,1,minor,False,0,0.033,0.04,0.003,0.0,-0.007,0.003,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:21.3,2,minor,False,0,0.044,0.035,0.0,0.0,0.009,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:21.1,1,minor,False,0,0.04,0.033,0.0,0.0,0.007,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:21.1,2,minor,False,0,0.043,0.033,0.0,0.0,0.011,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:20.5,1,minor,False,0,0.04,0.04,0.0,0.0,0.0,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
