round,time,full_time,player,severity,punish_damage_est,p1_health,p2_health,title,tag
1,00:35.1,00:00:35.100,1,critical,266,0.027,0.0,Over-commit without cover,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:10.3,00:00:10.300,1,major,193,0.018,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:24.3,00:00:24.399,1,major,187,0.0,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:10.4,00:00:10.400,2,major,181,0.038,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:39.7,00:00:39.799,1,major,179,0.04,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:36.2,00:00:36.299,2,major,177,0.046,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:25.8,00:00:25.800,1,major,173,0.05,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:25.6,00:00:25.699,2,major,172,0.033,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:17.6,00:00:17.600,1,major,169,0.06,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:16.8,00:00:16.899,1,major,165,0.044,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:29.8,00:00:29.800,1,major,159,0.034,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:29.6,00:00:29.600,1,major,159,0.004,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:21.5,00:00:21.500,1,major,156,0.035,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:36.3,00:00:36.399,1,major,155,0.048,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:33.7,00:00:33.799,1,major,154,0.024,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:22.8,00:00:22.800,2,major,154,0.032,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:21.3,00:00:21.300,1,major,154,0.035,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:33.7,00:00:33.700,2,major,152,0.024,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:20.6,00:00:20.699,2,major,152,0.043,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:17.6,00:00:17.699,2,major,152,0.057,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:34,00:00:34.000,1,major,150,0.026,0.03,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:33.8,00:00:33.899,2,major,150,0.024,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:27.8,00:00:27.800,2,major,149,0.034,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:17,00:00:17.000,2,major,149,0.034,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:33.6,00:00:33.600,1,major,147,0.023,0.003,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:26.1,00:00:26.100,2,major,147,0.119,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:14,00:00:14.000,2,major,147,0.021,0.001,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:24.6,00:00:24.600,2,major,146,0.0,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:22.8,00:00:22.899,1,major,146,0.035,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:14.5,00:00:14.599,1,major,146,0.027,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:13.8,00:00:13.800,2,major,146,0.017,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
2,00:49.2,00:00:49.200,1,major,145,0.048,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:33.3,00:00:33.399,2,major,145,0.024,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:17.1,00:00:17.100,1,major,145,0.034,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:13.6,00:00:13.699,1,major,145,0.0,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
2,00:42.7,00:00:42.799,2,major,144,0.04,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:34.1,00:00:34.100,2,major,144,0.026,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:25.8,00:00:25.899,2,major,144,0.115,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:17.8,00:00:17.899,1,major,144,0.052,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:10.1,00:00:10.199,2,major,144,0.017,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:34.7,00:00:34.799,1,major,143,0.035,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:34.6,00:00:34.600,1,major,143,0.005,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:24.3,00:00:24.300,2,major,143,0.021,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:04.5,00:00:04.599,1,major,143,0.04,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:26,00:00:26.000,1,major,142,0.192,0.069,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:29.8,00:00:29.899,2,major,141,0.051,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:33.2,00:00:33.200,2,major,140,0.025,0.049,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:33.2,00:00:33.299,1,major,140,0.023,0.008,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:27.6,00:00:27.699,1,major,140,0.034,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:20.1,00:00:20.199,2,major,140,0.04,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:34.7,00:00:34.700,2,major,139,0.033,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:24.6,00:00:24.699,1,major,139,0.0,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:16.3,00:00:16.300,2,major,139,0.044,0.001,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
2,00:48.6,00:00:48.600,1,major,138,0.037,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:35.2,00:00:35.200,2,major,138,0.023,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:17.5,00:00:17.500,2,major,138,0.052,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:14.3,00:00:14.300,1,major,138,0.021,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:13.5,00:00:13.500,1,major,138,0.0,0.004,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:13.5,00:00:13.599,2,major,138,0.0,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:11.1,00:00:11.199,1,major,138,0.038,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:09.9,00:00:09.900,2,major,137,0.034,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
2,00:47.2,00:00:47.200,1,major,136,0.03,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:31.6,00:00:31.699,1,major,136,0.036,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
1,00:14.6,00:00:14.699,2,major,136,0.027,0.0,Scramble / possible dropped confirm,Throw / Command Grab > knockdown (you were stuck until recovery).
2,00:49.1,00:00:49.100,2,minor,0,0.048,0.005,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
2,00:48.5,00:00:48.500,2,minor,0,0.037,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
2,00:48,00:00:48.000,1,minor,0,0.042,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
2,00:47.8,00:00:47.899,2,minor,0,0.033,0.003,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
2,00:47.3,00:00:47.399,1,minor,0,0.028,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
2,00:47.2,00:00:47.299,2,minor,0,0.028,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
2,00:46.7,00:00:46.799,2,minor,0,0.041,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
2,00:44.5,00:00:44.500,1,minor,0,0.053,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:36.5,00:00:36.500,2,minor,0,0.049,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:36.2,00:00:36.200,1,minor,0,0.041,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:34.8,00:00:34.899,2,minor,0,0.035,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:33,00:00:33.000,1,minor,0,0.025,0.067,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:32.7,00:00:32.799,2,minor,0,0.048,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:32.6,00:00:32.600,1,minor,0,0.048,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:32.5,00:00:32.500,2,minor,0,0.048,0.001,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:32,00:00:32.000,1,minor,0,0.0,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:31.8,00:00:31.800,2,minor,0,0.022,0.001,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:31.5,00:00:31.500,2,minor,0,0.036,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:30.5,00:00:30.500,1,minor,0,0.03,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:30.3,00:00:30.300,1,minor,0,0.031,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:30.3,00:00:30.399,2,minor,0,0.03,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:29.6,00:00:29.699,2,minor,0,0.006,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:28.8,00:00:28.800,2,minor,0,0.024,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:27.8,00:00:27.899,1,minor,0,0.034,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:27.6,00:00:27.600,2,minor,0,0.034,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:27.5,00:00:27.500,1,minor,0,0.034,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:24.1,00:00:24.199,1,minor,0,0.02,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:23.8,00:00:23.800,2,minor,0,0.042,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:23.3,00:00:23.399,1,minor,0,0.041,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:23.1,00:00:23.100,1,minor,0,0.041,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:23.1,00:00:23.199,2,minor,0,0.04,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:23,00:00:23.000,2,minor,0,0.03,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:22.3,00:00:22.300,1,minor,0,0.0,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:22.1,00:00:22.199,2,minor,0,0.046,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:21.6,00:00:21.600,2,minor,0,0.035,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:21.6,00:00:21.699,1,minor,0,0.035,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:21.3,00:00:21.399,2,minor,0,0.035,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:21.1,00:00:21.100,1,minor,0,0.016,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:21.1,00:00:21.199,2,minor,0,0.033,0.003,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:20.5,00:00:20.500,1,minor,0,0.04,0.001,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:19.6,00:00:19.600,1,minor,0,0.04,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:18,00:00:18.000,2,minor,0,0.034,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:17.3,00:00:17.399,1,minor,0,0.044,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:17.1,00:00:17.199,2,minor,0,0.034,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:16.5,00:00:16.500,2,minor,0,0.044,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:16.3,00:00:16.399,1,minor,0,0.044,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:16.1,00:00:16.199,1,minor,0,0.044,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:14.5,00:00:14.500,2,minor,0,0.021,0.039,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:14.1,00:00:14.199,2,minor,0,0.021,0.001,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:14,00:00:14.099,1,minor,0,0.02,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:13.9,00:00:13.900,1,minor,0,0.032,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:11.4,00:00:11.400,2,minor,0,0.04,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:10,00:00:10.000,1,minor,0,0.016,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:09.5,00:00:09.599,1,minor,0,0.034,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:08.9,00:00:08.900,2,minor,0,0.043,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:08.1,00:00:08.199,1,minor,0,0.043,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
1,00:06.7,00:00:06.799,2,minor,0,0.04,0.0,Scramble / possible dropped confirm,No clear string; scramble/neutral reset.
